id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1478500362747326465,1478500362747326465,"2022-01-04 23:55:30 Paris, Madrid",2022-01-04,23:55:30,100,29098737,toukimtl,Touki Montréal,,"Le spécialiste de véhicules électriques légers @okai_co a présenté pendant le #CES2022 des vélos électriques/e-Scooters, un casque connecté et même son OKAI SP10, ""le sac à dos le plus intelligent au monde"" !  https://t.co/xaz3KbWvmD",fr,"[{'screen_name': 'okai_co', 'name': 'okai', 'id': '1186295499197952000'}]",[],"['https://pbs.twimg.com/media/FISwPZ5XwAgSmym.jpg', 'https://pbs.twimg.com/media/FISwPZ8XEAIUDYP.jpg', 'https://pbs.twimg.com/media/FISwPZ5XMAEsqWM.jpg', 'https://pbs.twimg.com/media/FISwPZ7WYAkDanU.jpg']",0,0,1,['ces2022'],[],https://twitter.com/ToukiMtl/status/1478500362747326465,False,,1,https://pbs.twimg.com/media/FISwPZ5XwAgSmym.jpg,,,,,,,[],,,,
1478499381171175430,1478499381171175430,"2022-01-04 23:51:36 Paris, Madrid",2022-01-04,23:51:36,100,47330308,aureliecoudouel,Aurélie Coudouel,,#CES2022 | 5 Conseils pour réussir son salon (pour un exposant)  https://t.co/ajTg2ewWt6 via @forbes_fr,fr,"[{'screen_name': 'forbes_fr', 'name': 'forbes france', 'id': '775680010606764032'}]",['http://bit.ly/3qJ8gXy'],[],0,0,1,['ces2022'],[],https://twitter.com/AurelieCoudouel/status/1478499381171175430,False,,0,,,,,,,,[],,,,
1478498816714317827,1478498816714317827,"2022-01-04 23:49:21 Paris, Madrid",2022-01-04,23:49:21,100,3405442043,dailydigital,Daily Digital #CES2022,,🌇#NightReplay Cybersécurité : les outils technologiques face au manque de compétences internes ! #CES2022  https://t.co/F3e4VZSdou  https://t.co/AuXFJNgvza,fr,[],['https://dgl.li/31nuFRw'],['https://pbs.twimg.com/media/FISu1kDXMAI3fBH.jpg'],0,0,0,"['nightreplay', 'ces2022']",[],https://twitter.com/DailyDigital/status/1478498816714317827,False,,1,https://pbs.twimg.com/media/FISu1kDXMAI3fBH.jpg,,,,,,,[],,,,
1478497766842290184,1478497766842290184,"2022-01-04 23:45:11 Paris, Madrid",2022-01-04,23:45:11,100,256503544,sosordinet,Association SOSOrdi.net,,"[#CES2022] #Samsung : avant l’heure, le fabricant dégaine ses solutions télévisuelles #QLED et #microLED !  https://t.co/tSIONA9b7W #CES22 #television #8K  https://t.co/t7WJnSYK74",fr,[],['https://blog.sosordi.net/2022/01/ces-2022-samsung-avant-lheure-le-fabricant-degaine-ses-solutions-televisuelles-qled-et-microleds.html'],['https://pbs.twimg.com/media/FISt1bjX0AQ4MI0.jpg'],0,0,0,"['ces2022', 'samsung', 'qled', 'microled', 'ces22', 'television', '8k']",[],https://twitter.com/SOSOrdinet/status/1478497766842290184,False,,1,https://pbs.twimg.com/media/FISt1bjX0AQ4MI0.jpg,,,,,,,[],,,,
1478497489917464578,1478497489917464578,"2022-01-04 23:44:05 Paris, Madrid",2022-01-04,23:44:05,100,47330308,aureliecoudouel,Aurélie Coudouel,,#CES2022 : @Samsung accueille deux services de cloud gaming sur ses smart TV  https://t.co/ue5nlLOG7X via @JournalDuGeek,fr,"[{'screen_name': 'samsung', 'name': 'samsung electronics', 'id': '2381578122'}, {'screen_name': 'journaldugeek', 'name': 'le journal du geek', 'id': '16981026'}]",['http://bit.ly/3f7dO97'],[],0,0,0,['ces2022'],[],https://twitter.com/AurelieCoudouel/status/1478497489917464578,False,,0,,,,,,,,[],,,,
1478497278340042753,1478497278340042753,"2022-01-04 23:43:14 Paris, Madrid",2022-01-04,23:43:14,100,47330308,aureliecoudouel,Aurélie Coudouel,,"[#CES2022] Avec Body Scan, Withings veut réinventer la balance connectée  https://t.co/eoVJrGJZld via @LUsineDigitale",fr,"[{'screen_name': 'lusinedigitale', 'name': ""l'usine digitale"", 'id': '965694492'}]",['http://bit.ly/3HCgVC8'],[],0,0,0,['ces2022'],[],https://twitter.com/AurelieCoudouel/status/1478497278340042753,False,,0,,,,,,,,[],,,,
1478497250825355265,1478497250825355265,"2022-01-04 23:43:08 Paris, Madrid",2022-01-04,23:43:08,100,47330308,aureliecoudouel,Aurélie Coudouel,,[#CES2022] Circular présente un anneau connecté dédié au bien-être et à la santé  https://t.co/3KPxkheehQ via @LUsineDigitale,fr,"[{'screen_name': 'lusinedigitale', 'name': ""l'usine digitale"", 'id': '965694492'}]",['http://bit.ly/3pTIVej'],[],0,0,0,['ces2022'],[],https://twitter.com/AurelieCoudouel/status/1478497250825355265,False,,0,,,,,,,,[],,,,
1478497243019857922,1478497243019857922,"2022-01-04 23:43:06 Paris, Madrid",2022-01-04,23:43:06,100,47330308,aureliecoudouel,Aurélie Coudouel,,[#CES2022] EyeLights se rapproche d'AGC pour proposer de la réalité augmentée sur les pare-brises  https://t.co/L28SbAshIO via @LUsineDigitale,fr,"[{'screen_name': 'lusinedigitale', 'name': ""l'usine digitale"", 'id': '965694492'}]",['http://bit.ly/3JF1omP'],[],0,0,0,['ces2022'],[],https://twitter.com/AurelieCoudouel/status/1478497243019857922,False,,0,,,,,,,,[],,,,
1478495863978676226,1478495863978676226,"2022-01-04 23:37:37 Paris, Madrid",2022-01-04,23:37:37,100,21684207,guglielminetti,Bruno Guglielminetti,,"#CES2022 - On parle beaucoup de « Food Tech » cette année et un bon exemple de résultat concret c’est encore @KFC qui à compter du 10 janvier, et après des années de tests, va offrir le Beyond Meat's Fried Chicken à la grandeur des USA.  https://t.co/b5xhpsRtSl",fr,"[{'screen_name': 'kfc', 'name': 'kfc', 'id': '15392391'}]",[],['https://pbs.twimg.com/media/FISsJreVgAE18-g.jpg'],6,3,15,['ces2022'],[],https://twitter.com/Guglielminetti/status/1478495863978676226,False,,1,https://pbs.twimg.com/media/FISsJreVgAE18-g.jpg,,,,,,,[],,,,
1478495828172025856,1478495828172025856,"2022-01-04 23:37:29 Paris, Madrid",2022-01-04,23:37:29,100,25260412,frandroid,Frandroid,,TCL a dévoilé lors du #CES2022 de nouvelles lunettes connectées plus design et que la marque souhaite encore plus polyvalentes   https://t.co/G13VFHyDcD,fr,[],['https://www.frandroid.com/marques/tcl/1178079_nextwear-air-tcl-devoile-des-lunettes-connectees-plus-design-pour-le-futur?utm_medium=Social&utm_source=Twitter#Echobox=1641320636'],[],0,1,8,['ces2022'],[],https://twitter.com/Frandroid/status/1478495828172025856,False,,0,,,,,,,,[],,,,
